Sample.ID	Groups	Condition
1	sample_1	KO_TP	TP
2	sample_2	KO_TP	TP
3	sample_3	KO_TP	TP
4	sample_4	KO_TP	TP
5	sample_5	KO_TP	TP
6	sample_6	KO_baseline	baseline
7	sample_7	KO_baseline	baseline
8	sample_8	KO_baseline	baseline
9	sample_9	KO_baseline	baseline
10	sample_10	KO_baseline	baseline
11	sample_11	WT_TP	TP
12	sample_12	WT_TP	TP
13	sample_13	WT_TP	TP
14	sample_14	WT_TP	TP
15	sample_15	WT_TP	TP
16	sample_16	WT_baseline	baseline
17	sample_17	WT_baseline	baseline
18	sample_18	WT_baseline	baseline
19	sample_19	WT_baseline	baseline
20	sample_20	WT_baseline	baseline
